LOCATION,INDICATOR,TIME,Value
FIN,GGNLEND,2020,-5.580621581
FIN,GGNLEND,2021,-2.767424599
FIN,GGNLEND,2022,-0.857585337
FRA,GGNLEND,2000,-1.318422681
FRA,GGNLEND,2001,-1.379274477
FRA,GGNLEND,2002,-3.16028993
FRA,GGNLEND,2003,-4.01553721
FRA,GGNLEND,2004,-3.590570293
FRA,GGNLEND,2005,-3.355559897
FRA,GGNLEND,2006,-2.443685608
FRA,GGNLEND,2007,-2.636296205
FRA,GGNLEND,2008,-3.26373483
FRA,GGNLEND,2009,-7.174779051
FRA,GGNLEND,2010,-6.886721673
FRA,GGNLEND,2011,-5.154760881
FRA,GGNLEND,2012,-4.980984334
FRA,GGNLEND,2013,-4.084094523
FRA,GGNLEND,2014,-3.904659346
FRA,GGNLEND,2015,-3.62517467
FRA,GGNLEND,2016,-3.637256398
FRA,GGNLEND,2017,-2.958417093
FRA,GGNLEND,2018,-2.288954541
FRA,GGNLEND,2019,-3.064650778
FRA,GGNLEND,2020,-9.012724256
FRA,GGNLEND,2021,-6.477277907
FRA,GGNLEND,2022,-4.724966351
DEU,GGNLEND,2000,-1.584664476
DEU,GGNLEND,2001,-3.025444871
DEU,GGNLEND,2002,-3.874993176
DEU,GGNLEND,2003,-3.704201088
DEU,GGNLEND,2004,-3.334158372
DEU,GGNLEND,2005,-3.319436615
DEU,GGNLEND,2006,-1.653152096
DEU,GGNLEND,2007,0.26088696
DEU,GGNLEND,2008,-0.116356239
DEU,GGNLEND,2009,-3.150511299
DEU,GGNLEND,2010,-4.378646077
DEU,GGNLEND,2011,-0.881398595
DEU,GGNLEND,2012,0.009324994
DEU,GGNLEND,2013,0.039980792
DEU,GGNLEND,2014,0.579552713
DEU,GGNLEND,2015,0.960550926
DEU,GGNLEND,2016,1.160351417
DEU,GGNLEND,2017,1.336083938
DEU,GGNLEND,2018,1.949902688
DEU,GGNLEND,2019,1.530924837
DEU,GGNLEND,2020,-4.332903627
DEU,GGNLEND,2021,-3.727410287
DEU,GGNLEND,2022,-2.620214375
GRC,GGNLEND,2000,-4.0630872
GRC,GGNLEND,2001,-5.466055745
GRC,GGNLEND,2002,-6.024075591
GRC,GGNLEND,2003,-7.830423452
GRC,GGNLEND,2004,-8.827879771
GRC,GGNLEND,2005,-6.187942655
GRC,GGNLEND,2006,-5.94597758
GRC,GGNLEND,2007,-6.707074634
GRC,GGNLEND,2008,-10.17602394
GRC,GGNLEND,2009,-15.21507338
GRC,GGNLEND,2010,-11.39726065
GRC,GGNLEND,2011,-10.50818306
GRC,GGNLEND,2012,-9.098599556
GRC,GGNLEND,2013,-13.37359007
GRC,GGNLEND,2014,-3.68943143
GRC,GGNLEND,2015,-5.854774497
GRC,GGNLEND,2016,0.184533368
GRC,GGNLEND,2017,0.572628967
GRC,GGNLEND,2018,0.932847843
GRC,GGNLEND,2019,0.883550128
GRC,GGNLEND,2020,-9.700378424
