location,INDICATOR,TIME,Value
FRA,TAXREV,2010,42.145
FRA,TAXREV,2011,43.334
FRA,TAXREV,2012,44.36
FRA,TAXREV,2013,45.367
FRA,TAXREV,2014,45.449
FRA,TAXREV,2015,45.281
FRA,TAXREV,2016,45.374
FRA,TAXREV,2017,46.068
FRA,TAXREV,2018,45.878
FRA,TAXREV,2019,44.885
FRA,TAXREV,2020,45.34
FRA,TAXREV,2021,45.147
DEU,TAXREV,2000,36.369
DEU,TAXREV,2001,35.127
DEU,TAXREV,2002,34.559
DEU,TAXREV,2003,34.745
DEU,TAXREV,2004,34.329
DEU,TAXREV,2005,34.419
DEU,TAXREV,2006,34.938
DEU,TAXREV,2007,35.375
DEU,TAXREV,2008,35.844
DEU,TAXREV,2009,36.682
DEU,TAXREV,2010,35.531
DEU,TAXREV,2011,36.085
DEU,TAXREV,2012,36.816
DEU,TAXREV,2013,36.954
DEU,TAXREV,2014,36.812
DEU,TAXREV,2015,37.3
DEU,TAXREV,2016,37.75
DEU,TAXREV,2017,37.733
DEU,TAXREV,2018,38.458
DEU,TAXREV,2019,38.618
DEU,TAXREV,2020,37.911
DEU,TAXREV,2021,39.512
GRC,TAXREV,2000,33.424
GRC,TAXREV,2001,31.937
GRC,TAXREV,2002,33.147
GRC,TAXREV,2003,31.493
GRC,TAXREV,2004,30.466
GRC,TAXREV,2005,31.874
GRC,TAXREV,2006,31.05
GRC,TAXREV,2007,31.797
GRC,TAXREV,2008,31.803
GRC,TAXREV,2009,30.752
GRC,TAXREV,2010,32.31
GRC,TAXREV,2011,34.258
GRC,TAXREV,2012,36.345
GRC,TAXREV,2013,35.89
GRC,TAXREV,2014,36.325
GRC,TAXREV,2015,36.577
GRC,TAXREV,2016,38.853
GRC,TAXREV,2017,39.366
GRC,TAXREV,2018,40.022
GRC,TAXREV,2019,39.502
GRC,TAXREV,2020,38.861
GRC,TAXREV,2021,38.991
HUN,TAXREV,2000,38.521
HUN,TAXREV,2001,37.6
HUN,TAXREV,2002,37.389
HUN,TAXREV,2003,37.185
HUN,TAXREV,2004,36.908
HUN,TAXREV,2005,36.387
HUN,TAXREV,2006,36.335
HUN,TAXREV,2007,39.22
HUN,TAXREV,2008,39.321
HUN,TAXREV,2009,38.721
HUN,TAXREV,2010,36.811
HUN,TAXREV,2011,36.358
HUN,TAXREV,2012,38.888
HUN,TAXREV,2013,38.43
HUN,TAXREV,2014,38.35
HUN,TAXREV,2015,38.655
HUN,TAXREV,2016,39.03
HUN,TAXREV,2017,37.811
HUN,TAXREV,2018,36.785
HUN,TAXREV,2019,36.416
HUN,TAXREV,2020,36.095
HUN,TAXREV,2021,34.004
ISL,TAXREV,2000,35.877
ISL,TAXREV,2001,34.064
ISL,TAXREV,2002,33.769
ISL,TAXREV,2003,35.267
ISL,TAXREV,2004,36.328
ISL,TAXREV,2005,39.318
ISL,TAXREV,2006,39.614
ISL,TAXREV,2007,38.413
ISL,TAXREV,2008,34.264
ISL,TAXREV,2009,31.276
ISL,TAXREV,2010,32.218
ISL,TAXREV,2011,33.197
ISL,TAXREV,2012,33.951
ISL,TAXREV,2013,34.319
ISL,TAXREV,2014,37.111
ISL,TAXREV,2015,35.139
ISL,TAXREV,2016,50.286
ISL,TAXREV,2017,37.13
ISL,TAXREV,2018,36.452
ISL,TAXREV,2019,34.889
ISL,TAXREV,2020,36.117
ISL,TAXREV,2021,35.057
IRL,TAXREV,2000,30.751
IRL,TAXREV,2001,28.654
IRL,TAXREV,2002,27.872
IRL,TAXREV,2003,28.526
IRL,TAXREV,2004,29.575
IRL,TAXREV,2005,30.042
IRL,TAXREV,2006,31.426
IRL,TAXREV,2007,30.847
IRL,TAXREV,2008,29.093
IRL,TAXREV,2009,28.067
IRL,TAXREV,2010,27.719
IRL,TAXREV,2011,27.822
IRL,TAXREV,2012,28.116
IRL,TAXREV,2013,28.675
IRL,TAXREV,2014,28.719
IRL,TAXREV,2015,23.157
IRL,TAXREV,2016,23.544
IRL,TAXREV,2017,22.526
IRL,TAXREV,2018,22.307
IRL,TAXREV,2019,21.856
IRL,TAXREV,2020,19.857
IRL,TAXREV,2021,21.06
ITA,TAXREV,2000,40.523
ITA,TAXREV,2001,40.135
ITA,TAXREV,2002,39.619
ITA,TAXREV,2003,39.953
ITA,TAXREV,2004,39.225
ITA,TAXREV,2005,39.047
ITA,TAXREV,2006,40.464
ITA,TAXREV,2007,41.564
ITA,TAXREV,2008,41.596
ITA,TAXREV,2009,41.97
ITA,TAXREV,2010,41.701
ITA,TAXREV,2011,41.637
ITA,TAXREV,2012,43.617
ITA,TAXREV,2013,43.828
ITA,TAXREV,2014,43.325
ITA,TAXREV,2015,42.958
ITA,TAXREV,2016,42.242
ITA,TAXREV,2017,41.912
ITA,TAXREV,2018,41.731
ITA,TAXREV,2019,42.27
ITA,TAXREV,2020,42.653
ITA,TAXREV,2021,43.289
JPN,TAXREV,2000,25.341
JPN,TAXREV,2001,25.534
JPN,TAXREV,2002,24.504
JPN,TAXREV,2003,24.136
JPN,TAXREV,2004,24.76
JPN,TAXREV,2005,25.827
JPN,TAXREV,2006,26.617
JPN,TAXREV,2007,27.159
JPN,TAXREV,2008,27.049
JPN,TAXREV,2009,25.686
JPN,TAXREV,2010,26.241
JPN,TAXREV,2011,27.132
JPN,TAXREV,2012,27.952
JPN,TAXREV,2013,28.557
JPN,TAXREV,2014,29.973
JPN,TAXREV,2015,30.243
JPN,TAXREV,2016,30.279
JPN,TAXREV,2017,30.916
JPN,TAXREV,2018,31.539
JPN,TAXREV,2019,31.512
JPN,TAXREV,2020,33.158
KOR,TAXREV,2000,20.916
KOR,TAXREV,2001,21.201
KOR,TAXREV,2002,21.312
KOR,TAXREV,2003,21.991
KOR,TAXREV,2004,21.177
KOR,TAXREV,2005,21.656
KOR,TAXREV,2006,22.632
KOR,TAXREV,2007,23.73
KOR,TAXREV,2008,23.583
KOR,TAXREV,2009,22.703
KOR,TAXREV,2010,22.378
KOR,TAXREV,2011,23.177
KOR,TAXREV,2012,23.702
KOR,TAXREV,2013,23.143
KOR,TAXREV,2014,23.381
KOR,TAXREV,2015,23.737
KOR,TAXREV,2016,24.745
KOR,TAXREV,2017,25.357
KOR,TAXREV,2018,26.686
KOR,TAXREV,2019,27.227
KOR,TAXREV,2020,27.745
KOR,TAXREV,2021,29.884
LUX,TAXREV,2000,37.025
LUX,TAXREV,2001,37.229
LUX,TAXREV,2002,37.415
LUX,TAXREV,2003,37.395
LUX,TAXREV,2004,36.235
LUX,TAXREV,2005,37.436
LUX,TAXREV,2006,35.305
LUX,TAXREV,2007,35.747
LUX,TAXREV,2008,35.028
LUX,TAXREV,2009,36.275
LUX,TAXREV,2010,35.652
LUX,TAXREV,2011,36.126
LUX,TAXREV,2012,36.408
LUX,TAXREV,2013,36.183
LUX,TAXREV,2014,36.08
LUX,TAXREV,2015,34.777
LUX,TAXREV,2016,35.461
LUX,TAXREV,2017,36.649
LUX,TAXREV,2018,39.383
LUX,TAXREV,2019,39.576
LUX,TAXREV,2020,38.097
LUX,TAXREV,2021,38.572
MEX,TAXREV,2000,11.462
MEX,TAXREV,2001,12.194
MEX,TAXREV,2002,12.61
MEX,TAXREV,2003,12.671
MEX,TAXREV,2004,11.559
MEX,TAXREV,2005,11.362
MEX,TAXREV,2006,11.588
MEX,TAXREV,2007,12.014
MEX,TAXREV,2008,12.599
MEX,TAXREV,2009,12.467
MEX,TAXREV,2010,12.84
MEX,TAXREV,2011,12.767
MEX,TAXREV,2012,12.649
MEX,TAXREV,2013,13.304
MEX,TAXREV,2014,13.694
MEX,TAXREV,2015,15.903
MEX,TAXREV,2016,16.609
MEX,TAXREV,2017,16.08
MEX,TAXREV,2018,16.144
MEX,TAXREV,2019,16.34
MEX,TAXREV,2020,17.762
MEX,TAXREV,2021,16.699
NLD,TAXREV,2000,36.907
NLD,TAXREV,2001,35.612
NLD,TAXREV,2002,35.014
NLD,TAXREV,2003,34.804
NLD,TAXREV,2004,34.809
NLD,TAXREV,2005,35.013
NLD,TAXREV,2006,36.047
NLD,TAXREV,2007,35.685
NLD,TAXREV,2008,35.946
NLD,TAXREV,2009,34.939
NLD,TAXREV,2010,35.656
NLD,TAXREV,2011,35.443
NLD,TAXREV,2012,35.587
NLD,TAXREV,2013,36.109
NLD,TAXREV,2014,37.047
NLD,TAXREV,2015,37.007
NLD,TAXREV,2016,38.405
NLD,TAXREV,2017,38.701
NLD,TAXREV,2018,38.799
NLD,TAXREV,2019,39.264
NLD,TAXREV,2020,39.999
NLD,TAXREV,2021,39.698
NZL,TAXREV,2000,32.536
NZL,TAXREV,2001,31.96
NZL,TAXREV,2002,33.241
NZL,TAXREV,2003,33.167
NZL,TAXREV,2004,34.2
NZL,TAXREV,2005,36.091
NZL,TAXREV,2006,35.297
NZL,TAXREV,2007,33.92
NZL,TAXREV,2008,32.923
NZL,TAXREV,2009,30.227
NZL,TAXREV,2010,30.298
NZL,TAXREV,2011,30.081
NZL,TAXREV,2012,31.633
